timestamp,velocita_knots,raffica_knots,temperatura_c,direzione_cardinal,direzione_deg
2026-08-25 15:12:03,15.94,19.83,29.5,WNW,297
2026-08-25 16:20:57,13.22,17.88,29.0,WNW,287
2026-08-25 17:57:21,10.89,11.86,28.2,WNW,291
2026-08-25 19:41:15,4.28,5.06,27.5,W,272
2026-08-25 19:46:34,3.3,3.88,27.4,W,275
2026-08-25 19:49:05,4.67,6.02,27.5,W,263
2026-08-25 20:59:46,4.86,6.02,27.0,W,281
2026-08-25 21:58:42,3.5,3.88,26.8,W,279
2026-08-25 23:03:28,1.95,2.92,25.3,SSW,198
2026-08-25 23:56:39,1.36,5.06,25.2,WSW,243
2026-08-26 03:37:41,1.95,1.95,24.4,SSW,194
2026-08-26 05:19:40,2.92,3.88,24.2,SW,220
2026-08-26 08:03:30,8.36,9.92,28.1,E,95
